"time","CR","HM","HT"
"05/02/2025 03:50:34","904","24.4","32.6"
"05/02/2025 03:55:34","903","24.4","32.6"
"05/02/2025 04:00:33","911","24.4","32.6"
"05/02/2025 04:05:33","903","24.4","32.6"
"05/02/2025 04:10:33","912","24.4","32.6"
"05/02/2025 04:15:33","897","24.4","32.6"
"05/02/2025 04:20:32","897","24.5","32.5"
"05/02/2025 04:25:33","900","24.5","32.5"
"05/02/2025 04:30:33","913","24.5","32.5"
"05/02/2025 04:35:33","901","24.5","32.4"
"05/02/2025 04:40:32","911","24.5","32.5"
"05/02/2025 04:45:32","919","24.5","32.5"
"05/02/2025 04:50:33","906","24.6","32.5"
"05/02/2025 04:55:33","896","24.5","32.4"
"05/02/2025 05:00:32","905","24.6","32.5"
"05/02/2025 05:05:32","907","24.5","32.5"
"05/02/2025 05:10:32","915","24.5","32.5"
"05/02/2025 05:15:32","912","24.5","32.4"
"05/02/2025 05:20:31","911","24.5","32.4"
"05/02/2025 05:25:31","908","24.5","32.4"
"05/02/2025 05:30:33","912","24.5","32.4"
"05/02/2025 05:35:33","902","24.5","32.4"
"05/02/2025 05:40:33","901","24.4","32.4"
"05/02/2025 05:45:33","910","24.5","32.4"
"05/02/2025 05:50:33","903","24.5","32.4"
"05/02/2025 05:55:33","917","24.5","32.3"
"05/02/2025 06:00:32","894","24.5","32.3"
"05/02/2025 06:05:32","902","24.5","32.3"
"05/02/2025 06:10:33","898","24.5","32.3"
"05/02/2025 06:15:09","894","24.5","32.3"
"05/02/2025 06:20:10","904","24.5","32.3"
"05/02/2025 06:25:09","896","24.5","32.3"
"05/02/2025 06:29:53","891","24.5","32.2"
"05/02/2025 06:34:53","899","24.4","32.3"
"05/02/2025 06:39:54","921","24.5","32.2"
"05/02/2025 06:44:53","905","24.4","32.3"
"05/02/2025 07:04:52","891","24.6","32.2"
"05/02/2025 07:06:07","918","24.7","32.2"
"05/02/2025 07:11:09","905","24.6","32.4"
"05/02/2025 07:16:09","906","24.6","32.4"
"05/02/2025 07:21:09","894","24.5","32.5"
"05/02/2025 07:26:09","913","24.5","32.4"
"05/02/2025 07:31:09","913","24.5","32.5"
"05/02/2025 07:36:09","915","24.8","32.3"
"05/02/2025 07:41:09","905","24.8","32.3"
"05/02/2025 07:46:08","912","24.8","32.2"
"05/02/2025 07:51:08","884","24.9","32.3"
"05/02/2025 07:56:08","914","24.8","32.4"
"05/02/2025 08:01:09","894","24.8","32.4"
"05/02/2025 08:04:54","920","24.7","32.4"
"05/02/2025 08:06:09","916","24.8","32.5"
"05/02/2025 08:11:09","908","25","32.4"
"05/02/2025 08:16:09","891","25.2","32.4"
"05/02/2025 08:21:08","879","25.4","32.5"
"05/02/2025 08:26:09","889","25.5","32.6"
"05/02/2025 08:31:07","912","25.6","32.7"
"05/02/2025 08:36:07","904","29","32.6"
"05/02/2025 08:41:08","903","28.9","32.4"
"05/02/2025 08:46:07","918","26.9","32.2"
"05/02/2025 08:51:08","885","26.4","32.2"
"05/02/2025 08:56:09","885","26.6","32.2"
"05/02/2025 09:01:08","887","26.9","32.2"
"05/02/2025 09:04:52","891","27","32.3"
"05/02/2025 09:06:08","925","27","32.2"
"05/02/2025 09:11:08","895","26.8","32.4"
"05/02/2025 09:16:08","886","27","32.3"
"05/02/2025 09:21:08","901","26.9","32.2"
"05/02/2025 09:26:08","895","26.9","32.2"
"05/02/2025 09:31:08","901","26.7","32.3"
"05/02/2025 09:36:07","914","26.4","32.4"
"05/02/2025 09:41:06","904","26.4","32.4"
"05/02/2025 09:46:06","917","26.3","32.5"
"05/02/2025 09:51:14","920","26.2","32.5"
"05/02/2025 09:56:07","895","26.1","32.6"
"05/02/2025 10:01:05","922","26","32.6"
"05/02/2025 10:04:50","926","25.9","32.7"
"05/02/2025 10:06:05","917","25.9","32.7"
"05/02/2025 10:11:05","882","25.8","32.7"
"05/02/2025 10:16:05","896","25.7","32.8"
